0.000000	0.000000	speaker1
1.250000	14.308676	speaker2
14.322448	15.500000	speaker1
15.500000	19.211360	speaker2
19.250000	21.000000	speaker1
21.000000	30.641775	speaker2
26.750000	27.250000	speaker1
30.500000	37.250000	speaker1
30.500000	35.250000	speaker3
37.500000	40.750000	speaker2
40.750000	43.250000	speaker1
43.000000	45.250000	speaker2
45.250000	47.000000	speaker1
46.750000	54.000000	speaker2
54.000000	56.500000	speaker1
55.500000	59.500000	speaker2
59.500000	64.500000	speaker1
64.500000	67.250000	speaker1
67.000000	74.750000	speaker2
75.750000	83.250000	speaker2
75.750000	83.250000	speaker1
75.750000	75.750000	speakr1
83.250000	87.000000	speaker2
87.250000	90.250000	speaker1
90.000000	94.750000	speaker2
94.500000	94.500000	
96.000000	113.750000	speaker1
113.750000	132.000000	speaker2
131.750000	131.750000	speaker1
132.000000	156.750000	speaker1
156.250000	163.750000	speaker1
159.250000	161.500000	
159.250000	161.500000	speaker2
163.750000	168.750000	speaker1
168.750000	174.000000	speaker1
174.000000	180.132323	speaker1
179.500000	188.250000	speaker2
179.500000	179.500000	
188.000000	191.250000	speaker1
191.250000	196.250000	speaker2
196.000000	200.750000	speaker1
200.500000	201.250000	speaker2
201.250000	205.250000	speaker1
205.250000	212.500000	speaker2
212.000000	221.500000	speaker1
221.500000	231.000000	speaker2
231.000000	234.500000	speaker1
234.500000	235.750000	speaker2
235.750000	238.750000	speaker1
238.750000	241.250000	speaker2
